main::558->Listening to port 4567
Reset::268->Twiddle Updating:it=0,p=[0.000000,0.000000,0.000000],dp=[1.000000,1.000000,1.000000],best_err=1000.000000,err=457.557573
Reset::268->Twiddle Updating:it=44,p=[0.653044,0.000000,4.280299],dp=[0.643044,0.430467,0.960596],best_err=144.365187,err=129.851910
Reset::272->Twiddle Ignoring:it=45,p=[0.653044,0.430467,4.280299],dp=[0.707348,0.430467,0.960596],best_err=129.851910,err=894.129718
Reset::272->Twiddle Ignoring:it=46,p=[0.653044,-0.430467,4.280299],dp=[0.707348,0.430467,0.960596],best_err=129.851910,err=1126.085975
Reset::272->Twiddle Ignoring:it=47,p=[0.653044,0.000000,5.240895],dp=[0.707348,0.387420,0.960596],best_err=129.851910,err=135.221526
Reset::272->Twiddle Ignoring:it=48,p=[0.653044,0.000000,3.319703],dp=[0.707348,0.387420,0.960596],best_err=129.851910,err=203.845472
Reset::272->Twiddle Ignoring:it=49,p=[1.360392,0.000000,4.280299],dp=[0.707348,0.387420,0.864536],best_err=129.851910,err=234.803683
Reset::272->Twiddle Ignoring:it=50,p=[-0.054304,0.000000,4.280299],dp=[0.707348,0.387420,0.864536],best_err=129.851910,err=502.395535
Reset::272->Twiddle Ignoring:it=51,p=[0.653044,0.387420,4.280299],dp=[0.636613,0.387420,0.864536],best_err=129.851910,err=891.237644
Reset::272->Twiddle Ignoring:it=52,p=[0.653044,-0.387420,4.280299],dp=[0.636613,0.387420,0.864536],best_err=129.851910,err=1008.527676
Reset::272->Twiddle Ignoring:it=53,p=[0.653044,0.000000,5.144835],dp=[0.636613,0.348678,0.864536],best_err=129.851910,err=134.722815
Reset::272->Twiddle Ignoring:it=54,p=[0.653044,0.000000,3.415763],dp=[0.636613,0.348678,0.864536],best_err=129.851910,err=197.665234
Reset::272->Twiddle Ignoring:it=55,p=[1.289657,0.000000,4.280299],dp=[0.636613,0.348678,0.778083],best_err=129.851910,err=237.842727
Reset::272->Twiddle Ignoring:it=56,p=[0.016430,0.000000,4.280299],dp=[0.636613,0.348678,0.778083],best_err=129.851910,err=151.207856
Reset::272->Twiddle Ignoring:it=57,p=[0.653044,0.348678,4.280299],dp=[0.572952,0.348678,0.778083],best_err=129.851910,err=820.017640
Reset::272->Twiddle Ignoring:it=58,p=[0.653044,-0.348678,4.280299],dp=[0.572952,0.348678,0.778083],best_err=129.851910,err=987.154643
Reset::272->Twiddle Ignoring:it=59,p=[0.653044,0.000000,5.058382],dp=[0.572952,0.313811,0.778083],best_err=129.851910,err=139.347780
Reset::272->Twiddle Ignoring:it=60,p=[0.653044,0.000000,3.502216],dp=[0.572952,0.313811,0.778083],best_err=129.851910,err=184.322760
Reset::272->Twiddle Ignoring:it=61,p=[1.225995,0.000000,4.280299],dp=[0.572952,0.313811,0.700274],best_err=129.851910,err=200.093114
Reset::268->Twiddle Updating:it=62,p=[0.080092,0.000000,4.280299],dp=[0.572952,0.313811,0.700274],best_err=129.851910,err=68.991027
Reset::272->Twiddle Ignoring:it=63,p=[0.080092,0.313811,4.280299],dp=[0.630247,0.313811,0.700274],best_err=68.991027,err=964.289498
Reset::272->Twiddle Ignoring:it=64,p=[0.080092,-0.313811,4.280299],dp=[0.630247,0.313811,0.700274],best_err=68.991027,err=1152.601139
Reset::268->Twiddle Updating:it=65,p=[0.080092,0.000000,4.980573],dp=[0.630247,0.282430,0.700274],best_err=68.991027,err=57.754696
Reset::272->Twiddle Ignoring:it=66,p=[0.710339,0.000000,4.980573],dp=[0.630247,0.282430,0.770302],best_err=57.754696,err=128.719273
Reset::272->Twiddle Ignoring:it=67,p=[-0.550155,0.000000,4.980573],dp=[0.630247,0.282430,0.770302],best_err=57.754696,err=1014.191957
Reset::272->Twiddle Ignoring:it=68,p=[0.080092,0.282430,4.980573],dp=[0.567222,0.282430,0.770302],best_err=57.754696,err=955.989747
Reset::272->Twiddle Ignoring:it=69,p=[0.080092,-0.282430,4.980573],dp=[0.567222,0.282430,0.770302],best_err=57.754696,err=1181.868407
Reset::268->Twiddle Updating:it=70,p=[0.080092,0.000000,5.750875],dp=[0.567222,0.254187,0.770302],best_err=57.754696,err=46.726978
Reset::272->Twiddle Ignoring:it=71,p=[0.647314,0.000000,5.750875],dp=[0.567222,0.254187,0.847332],best_err=46.726978,err=155.413883
Reset::272->Twiddle Ignoring:it=72,p=[-0.487131,0.000000,5.750875],dp=[0.567222,0.254187,0.847332],best_err=46.726978,err=877.500161
Reset::272->Twiddle Ignoring:it=73,p=[0.080092,0.254187,5.750875],dp=[0.510500,0.254187,0.847332],best_err=46.726978,err=921.243981
Reset::272->Twiddle Ignoring:it=74,p=[0.080092,-0.254187,5.750875],dp=[0.510500,0.254187,0.847332],best_err=46.726978,err=1152.256151
Reset::272->Twiddle Ignoring:it=75,p=[0.080092,0.000000,6.598208],dp=[0.510500,0.228768,0.847332],best_err=46.726978,err=57.991694
Reset::272->Twiddle Ignoring:it=76,p=[0.080092,0.000000,4.903543],dp=[0.510500,0.228768,0.847332],best_err=46.726978,err=53.792504
Reset::268->Twiddle Updating:it=77,p=[0.590592,0.000000,5.750875],dp=[0.510500,0.228768,0.762599],best_err=46.726978,err=22.988454
Reset::272->Twiddle Ignoring:it=78,p=[0.590592,0.228768,5.750875],dp=[0.561550,0.228768,0.762599],best_err=22.988454,err=556.007316
Reset::272->Twiddle Ignoring:it=79,p=[0.590592,-0.228768,5.750875],dp=[0.561550,0.228768,0.762599],best_err=22.988454,err=994.677501
Reset::268->Twiddle Updating:it=80,p=[0.590592,0.000000,6.513474],dp=[0.561550,0.205891,0.762599],best_err=22.988454,err=4.828305
Reset::272->Twiddle Ignoring:it=81,p=[1.152142,0.000000,6.513474],dp=[0.561550,0.205891,0.838859],best_err=4.828305,err=123.479828
Reset::272->Twiddle Ignoring:it=82,p=[0.029042,0.000000,6.513474],dp=[0.561550,0.205891,0.838859],best_err=4.828305,err=35.313575
Reset::272->Twiddle Ignoring:it=83,p=[0.590592,0.205891,6.513474],dp=[0.505395,0.205891,0.838859],best_err=4.828305,err=334.278842
Reset::272->Twiddle Ignoring:it=84,p=[0.590592,-0.205891,6.513474],dp=[0.505395,0.205891,0.838859],best_err=4.828305,err=644.002075
Reset::272->Twiddle Ignoring:it=85,p=[0.590592,0.000000,7.352333],dp=[0.505395,0.185302,0.838859],best_err=4.828305,err=36.912255
Reset::272->Twiddle Ignoring:it=86,p=[0.590592,0.000000,5.674616],dp=[0.505395,0.185302,0.838859],best_err=4.828305,err=64.656409
Reset::272->Twiddle Ignoring:it=87,p=[1.095987,0.000000,6.513474],dp=[0.505395,0.185302,0.754973],best_err=4.828305,err=128.228191
Reset::272->Twiddle Ignoring:it=88,p=[0.085197,0.000000,6.513474],dp=[0.505395,0.185302,0.754973],best_err=4.828305,err=41.754439
Reset::272->Twiddle Ignoring:it=89,p=[0.590592,0.185302,6.513474],dp=[0.454856,0.185302,0.754973],best_err=4.828305,err=555.714888
Reset::272->Twiddle Ignoring:it=90,p=[0.590592,-0.185302,6.513474],dp=[0.454856,0.185302,0.754973],best_err=4.828305,err=896.333751
Reset::272->Twiddle Ignoring:it=91,p=[0.590592,0.000000,7.268447],dp=[0.454856,0.166772,0.754973],best_err=4.828305,err=61.374056
Reset::272->Twiddle Ignoring:it=92,p=[0.590592,0.000000,5.758501],dp=[0.454856,0.166772,0.754973],best_err=4.828305,err=105.968456
Reset::272->Twiddle Ignoring:it=93,p=[1.045447,0.000000,6.513474],dp=[0.454856,0.166772,0.679476],best_err=4.828305,err=129.922101
Reset::268->Twiddle Updating:it=94,p=[0.135736,0.000000,6.513474],dp=[0.454856,0.166772,0.679476],best_err=4.828305,err=1.157201
Reset::272->Twiddle Ignoring:it=95,p=[0.135736,0.166772,6.513474],dp=[0.500341,0.166772,0.679476],best_err=1.157201,err=728.423789
Reset::272->Twiddle Ignoring:it=96,p=[0.135736,-0.166772,6.513474],dp=[0.500341,0.166772,0.679476],best_err=1.157201,err=1073.955679
Reset::272->Twiddle Ignoring:it=97,p=[0.135736,0.000000,7.192950],dp=[0.500341,0.150095,0.679476],best_err=1.157201,err=52.385465
Reset::272->Twiddle Ignoring:it=98,p=[0.135736,0.000000,5.833999],dp=[0.500341,0.150095,0.679476],best_err=1.157201,err=15.069723
Reset::272->Twiddle Ignoring:it=99,p=[0.636077,0.000000,6.513474],dp=[0.500341,0.150095,0.611528],best_err=1.157201,err=11.335956
Reset::272->Twiddle Ignoring:it=100,p=[-0.364605,0.000000,6.513474],dp=[0.500341,0.150095,0.611528],best_err=1.157201,err=781.033348
Reset::272->Twiddle Ignoring:it=101,p=[0.135736,0.150095,6.513474],dp=[0.450307,0.150095,0.611528],best_err=1.157201,err=585.888680
Reset::272->Twiddle Ignoring:it=102,p=[0.135736,-0.150095,6.513474],dp=[0.450307,0.150095,0.611528],best_err=1.157201,err=838.506524
Reset::272->Twiddle Ignoring:it=103,p=[0.135736,0.000000,7.125002],dp=[0.450307,0.135085,0.611528],best_err=1.157201,err=44.861072
Reset::272->Twiddle Ignoring:it=104,p=[0.135736,0.000000,5.901946],dp=[0.450307,0.135085,0.611528],best_err=1.157201,err=16.668702
Reset::272->Twiddle Ignoring:it=105,p=[0.586043,0.000000,6.513474],dp=[0.450307,0.135085,0.550375],best_err=1.157201,err=13.385053
Reset::272->Twiddle Ignoring:it=106,p=[-0.314571,0.000000,6.513474],dp=[0.450307,0.135085,0.550375],best_err=1.157201,err=734.205234
Reset::272->Twiddle Ignoring:it=107,p=[0.135736,0.135085,6.513474],dp=[0.405276,0.135085,0.550375],best_err=1.157201,err=736.651829
Reset::272->Twiddle Ignoring:it=108,p=[0.135736,-0.135085,6.513474],dp=[0.405276,0.135085,0.550375],best_err=1.157201,err=912.574790
Reset::272->Twiddle Ignoring:it=109,p=[0.135736,0.000000,7.063850],dp=[0.405276,0.121577,0.550375],best_err=1.157201,err=41.746161
Reset::272->Twiddle Ignoring:it=110,p=[0.135736,0.000000,5.963099],dp=[0.405276,0.121577,0.550375],best_err=1.157201,err=43.052083
Reset::272->Twiddle Ignoring:it=111,p=[0.541013,0.000000,6.513474],dp=[0.405276,0.121577,0.495338],best_err=1.157201,err=42.057263
Reset::272->Twiddle Ignoring:it=112,p=[-0.269540,0.000000,6.513474],dp=[0.405276,0.121577,0.495338],best_err=1.157201,err=620.560083
Reset::272->Twiddle Ignoring:it=113,p=[0.135736,0.121577,6.513474],dp=[0.364749,0.121577,0.495338],best_err=1.157201,err=471.207204
Reset::272->Twiddle Ignoring:it=114,p=[0.135736,-0.121577,6.513474],dp=[0.364749,0.121577,0.495338],best_err=1.157201,err=1049.557045
Reset::272->Twiddle Ignoring:it=115,p=[0.135736,0.000000,7.008812],dp=[0.364749,0.109419,0.495338],best_err=1.157201,err=41.728154
Reset::272->Twiddle Ignoring:it=116,p=[0.135736,0.000000,6.018137],dp=[0.364749,0.109419,0.495338],best_err=1.157201,err=55.695869
Reset::272->Twiddle Ignoring:it=117,p=[0.500485,0.000000,6.513474],dp=[0.364749,0.109419,0.445804],best_err=1.157201,err=40.441143
Reset::272->Twiddle Ignoring:it=118,p=[-0.229012,0.000000,6.513474],dp=[0.364749,0.109419,0.445804],best_err=1.157201,err=490.707625
Reset::272->Twiddle Ignoring:it=119,p=[0.135736,0.109419,6.513474],dp=[0.328274,0.109419,0.445804],best_err=1.157201,err=348.144254
Reset::272->Twiddle Ignoring:it=120,p=[0.135736,-0.109419,6.513474],dp=[0.328274,0.109419,0.445804],best_err=1.157201,err=821.948086
Reset::272->Twiddle Ignoring:it=121,p=[0.135736,0.000000,6.959278],dp=[0.328274,0.098477,0.445804],best_err=1.157201,err=39.716983
Reset::272->Twiddle Ignoring:it=122,p=[0.135736,0.000000,6.067670],dp=[0.328274,0.098477,0.445804],best_err=1.157201,err=42.333784
Reset::272->Twiddle Ignoring:it=123,p=[0.464010,0.000000,6.513474],dp=[0.328274,0.098477,0.401224],best_err=1.157201,err=49.335472
Reset::272->Twiddle Ignoring:it=124,p=[-0.192538,0.000000,6.513474],dp=[0.328274,0.098477,0.401224],best_err=1.157201,err=618.837876
Reset::272->Twiddle Ignoring:it=125,p=[0.135736,0.098477,6.513474],dp=[0.295446,0.098477,0.401224],best_err=1.157201,err=751.789855
Reset::272->Twiddle Ignoring:it=126,p=[0.135736,-0.098477,6.513474],dp=[0.295446,0.098477,0.401224],best_err=1.157201,err=916.967487
Reset::272->Twiddle Ignoring:it=127,p=[0.135736,0.000000,6.914698],dp=[0.295446,0.088629,0.401224],best_err=1.157201,err=41.041716
Reset::272->Twiddle Ignoring:it=128,p=[0.135736,0.000000,6.112251],dp=[0.295446,0.088629,0.401224],best_err=1.157201,err=12.021252
Reset::272->Twiddle Ignoring:it=129,p=[0.431183,0.000000,6.513474],dp=[0.295446,0.088629,0.361101],best_err=1.157201,err=49.331090
Reset::272->Twiddle Ignoring:it=130,p=[-0.159710,0.000000,6.513474],dp=[0.295446,0.088629,0.361101],best_err=1.157201,err=641.055508
Reset::272->Twiddle Ignoring:it=131,p=[0.135736,0.088629,6.513474],dp=[0.265902,0.088629,0.361101],best_err=1.157201,err=567.113237
Reset::272->Twiddle Ignoring:it=132,p=[0.135736,-0.088629,6.513474],dp=[0.265902,0.088629,0.361101],best_err=1.157201,err=1117.220190
Reset::272->Twiddle Ignoring:it=133,p=[0.135736,0.000000,6.874576],dp=[0.265902,0.079766,0.361101],best_err=1.157201,err=64.244188
Reset::272->Twiddle Ignoring:it=134,p=[0.135736,0.000000,6.152373],dp=[0.265902,0.079766,0.361101],best_err=1.157201,err=52.776774
Reset::272->Twiddle Ignoring:it=135,p=[0.401638,0.000000,6.513474],dp=[0.265902,0.079766,0.324991],best_err=1.157201,err=57.490132
Reset::272->Twiddle Ignoring:it=136,p=[-0.130166,0.000000,6.513474],dp=[0.265902,0.079766,0.324991],best_err=1.157201,err=627.186733
Reset::272->Twiddle Ignoring:it=137,p=[0.135736,0.079766,6.513474],dp=[0.239312,0.079766,0.324991],best_err=1.157201,err=630.966982
Reset::272->Twiddle Ignoring:it=138,p=[0.135736,-0.079766,6.513474],dp=[0.239312,0.079766,0.324991],best_err=1.157201,err=1092.665724
Reset::272->Twiddle Ignoring:it=139,p=[0.135736,0.000000,6.838465],dp=[0.239312,0.071790,0.324991],best_err=1.157201,err=52.925181
Reset::272->Twiddle Ignoring:it=140,p=[0.135736,0.000000,6.188483],dp=[0.239312,0.071790,0.324991],best_err=1.157201,err=52.564361
Reset::272->Twiddle Ignoring:it=141,p=[0.375048,0.000000,6.513474],dp=[0.239312,0.071790,0.292492],best_err=1.157201,err=145.789708
Reset::272->Twiddle Ignoring:it=142,p=[-0.103575,0.000000,6.513474],dp=[0.239312,0.071790,0.292492],best_err=1.157201,err=581.836066
Reset::272->Twiddle Ignoring:it=143,p=[0.135736,0.071790,6.513474],dp=[0.215380,0.071790,0.292492],best_err=1.157201,err=573.200315
Reset::272->Twiddle Ignoring:it=144,p=[0.135736,-0.071790,6.513474],dp=[0.215380,0.071790,0.292492],best_err=1.157201,err=1029.232727
Reset::272->Twiddle Ignoring:it=145,p=[0.135736,0.000000,6.805966],dp=[0.215380,0.064611,0.292492],best_err=1.157201,err=49.502602
Reset::272->Twiddle Ignoring:it=146,p=[0.135736,0.000000,6.220982],dp=[0.215380,0.064611,0.292492],best_err=1.157201,err=51.152722
Reset::268->Twiddle Updating:it=147,p=[0.351117,0.000000,6.513474],dp=[0.215380,0.064611,0.263243],best_err=1.157201,err=0.362891
Reset::272->Twiddle Ignoring:it=148,p=[0.351117,0.064611,6.513474],dp=[0.236919,0.064611,0.263243],best_err=0.362891,err=738.706327
Reset::272->Twiddle Ignoring:it=149,p=[0.351117,-0.064611,6.513474],dp=[0.236919,0.064611,0.263243],best_err=0.362891,err=1104.772870
Reset::272->Twiddle Ignoring:it=150,p=[0.351117,0.000000,6.776717],dp=[0.236919,0.058150,0.263243],best_err=0.362891,err=0.584805
Reset::272->Twiddle Ignoring:it=151,p=[0.351117,0.000000,6.250232],dp=[0.236919,0.058150,0.263243],best_err=0.362891,err=0.364185
Reset::272->Twiddle Ignoring:it=152,p=[0.588035,0.000000,6.513474],dp=[0.236919,0.058150,0.236919],best_err=0.362891,err=6.766182
Reset::272->Twiddle Ignoring:it=153,p=[0.114198,0.000000,6.513474],dp=[0.236919,0.058150,0.236919],best_err=0.362891,err=57.785533
Reset::272->Twiddle Ignoring:it=154,p=[0.351117,0.058150,6.513474],dp=[0.213227,0.058150,0.236919],best_err=0.362891,err=609.420084
Reset::272->Twiddle Ignoring:it=155,p=[0.351117,-0.058150,6.513474],dp=[0.213227,0.058150,0.236919],best_err=0.362891,err=1106.540513
Reset::272->Twiddle Ignoring:it=156,p=[0.351117,0.000000,6.750393],dp=[0.213227,0.052335,0.236919],best_err=0.362891,err=46.896950
Reset::272->Twiddle Ignoring:it=157,p=[0.351117,0.000000,6.276556],dp=[0.213227,0.052335,0.236919],best_err=0.362891,err=14.379453
Reset::272->Twiddle Ignoring:it=158,p=[0.564343,0.000000,6.513474],dp=[0.213227,0.052335,0.213227],best_err=0.362891,err=56.949842
Reset::272->Twiddle Ignoring:it=159,p=[0.137890,0.000000,6.513474],dp=[0.213227,0.052335,0.213227],best_err=0.362891,err=39.596828
Reset::272->Twiddle Ignoring:it=160,p=[0.351117,0.052335,6.513474],dp=[0.191904,0.052335,0.213227],best_err=0.362891,err=595.695999
Reset::272->Twiddle Ignoring:it=161,p=[0.351117,-0.052335,6.513474],dp=[0.191904,0.052335,0.213227],best_err=0.362891,err=1119.570616
Reset::272->Twiddle Ignoring:it=162,p=[0.351117,0.000000,6.726701],dp=[0.191904,0.047101,0.213227],best_err=0.362891,err=4.136732
Reset::272->Twiddle Ignoring:it=163,p=[0.351117,0.000000,6.300248],dp=[0.191904,0.047101,0.213227],best_err=0.362891,err=1.053599
Reset::272->Twiddle Ignoring:it=164,p=[0.543021,0.000000,6.513474],dp=[0.191904,0.047101,0.191904],best_err=0.362891,err=37.636878
Reset::272->Twiddle Ignoring:it=165,p=[0.159213,0.000000,6.513474],dp=[0.191904,0.047101,0.191904],best_err=0.362891,err=10.929379
Reset::272->Twiddle Ignoring:it=166,p=[0.351117,0.047101,6.513474],dp=[0.172714,0.047101,0.191904],best_err=0.362891,err=566.590572
Reset::272->Twiddle Ignoring:it=167,p=[0.351117,-0.047101,6.513474],dp=[0.172714,0.047101,0.191904],best_err=0.362891,err=931.719349
Reset::272->Twiddle Ignoring:it=168,p=[0.351117,0.000000,6.705378],dp=[0.172714,0.042391,0.191904],best_err=0.362891,err=41.615936
Reset::272->Twiddle Ignoring:it=169,p=[0.351117,0.000000,6.321570],dp=[0.172714,0.042391,0.191904],best_err=0.362891,err=0.399996
Reset::272->Twiddle Ignoring:it=170,p=[0.523830,0.000000,6.513474],dp=[0.172714,0.042391,0.172714],best_err=0.362891,err=16.965768
Reset::272->Twiddle Ignoring:it=171,p=[0.178403,0.000000,6.513474],dp=[0.172714,0.042391,0.172714],best_err=0.362891,err=11.624604
Reset::272->Twiddle Ignoring:it=172,p=[0.351117,0.042391,6.513474],dp=[0.155442,0.042391,0.172714],best_err=0.362891,err=556.013396
Reset::272->Twiddle Ignoring:it=173,p=[0.351117,-0.042391,6.513474],dp=[0.155442,0.042391,0.172714],best_err=0.362891,err=804.065968
Reset::272->Twiddle Ignoring:it=174,p=[0.351117,0.000000,6.686188],dp=[0.155442,0.038152,0.172714],best_err=0.362891,err=1.612481
Reset::272->Twiddle Ignoring:it=175,p=[0.351117,0.000000,6.340761],dp=[0.155442,0.038152,0.172714],best_err=0.362891,err=48.686297
Reset::272->Twiddle Ignoring:it=176,p=[0.506559,0.000000,6.513474],dp=[0.155442,0.038152,0.155442],best_err=0.362891,err=20.728930
Reset::272->Twiddle Ignoring:it=177,p=[0.195674,0.000000,6.513474],dp=[0.155442,0.038152,0.155442],best_err=0.362891,err=41.507768
Reset::272->Twiddle Ignoring:it=178,p=[0.351117,0.038152,6.513474],dp=[0.139898,0.038152,0.155442],best_err=0.362891,err=602.449811
Reset::272->Twiddle Ignoring:it=179,p=[0.351117,-0.038152,6.513474],dp=[0.139898,0.038152,0.155442],best_err=0.362891,err=1022.400453
Reset::272->Twiddle Ignoring:it=180,p=[0.351117,0.000000,6.668917],dp=[0.139898,0.034337,0.155442],best_err=0.362891,err=0.509507
Reset::268->Twiddle Updating:it=181,p=[0.351117,0.000000,6.358032],dp=[0.139898,0.034337,0.155442],best_err=0.362891,err=0.316376
Reset::272->Twiddle Ignoring:it=182,p=[0.491015,0.000000,6.358032],dp=[0.139898,0.034337,0.170986],best_err=0.316376,err=1.357790
Reset::272->Twiddle Ignoring:it=183,p=[0.211219,0.000000,6.358032],dp=[0.139898,0.034337,0.170986],best_err=0.316376,err=11.831570
Reset::272->Twiddle Ignoring:it=184,p=[0.351117,0.034337,6.358032],dp=[0.125908,0.034337,0.170986],best_err=0.316376,err=555.670862
Reset::272->Twiddle Ignoring:it=185,p=[0.351117,-0.034337,6.358032],dp=[0.125908,0.034337,0.170986],best_err=0.316376,err=868.393226
Reset::272->Twiddle Ignoring:it=186,p=[0.351117,0.000000,6.529019],dp=[0.125908,0.030903,0.170986],best_err=0.316376,err=0.541017
